Ano;mês;receita bruta de vendas;impostos sobre vendas;devoluções de vendas;CMV (custo da mercadoria vendida);despesas comerciais;despesas administrativas;despesas financeiras líquidas;despesas com depreciações e amortizações;receitas não operacionais;despesas não operacionais;provisão para imposto de renda;provisão para contribuição social;numero de vendas;pró-labore/distribuição de lucro;Centro de Custos Entradas 4;Ativo NC;Passivo NC;Centro de Custos Saidas 4;Centro de Custos Saidas 1;Outros PC;Centro de Custos Saidas 3;Disponibilidades Saida;disponibilidades saldo;Centro de Custos Entradas 3;contas a pagar de fornecedores saldo;Outros AC;Centro de Custos Entradas 2;Disponibilidades entradas;Centro de Custos Entradas 1;Aporte;contas a receber saldo;estoque final do mês de mercadorias para revenda saldo;Passivos Financeiros;estoque inicial do mês de mercadorias para revenda saldo;Centro de Custos Saidas 2;Data
2021;mar;6358310,840000001;0,0;0,0;3916591,02;11813,02;61378,90000000001;28285,54;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1317207,69;0,0;0,0;0,0;325129,86;0,0;7830612,0;2622053,31;0,0;2075126,0;204892,38999999998;0,0;7026805,920000001;0,0;0,0;5150142,59;0,0;0,0;0,0;0,0;2021-03-01
2021;jun;6669979,149999999;0,0;0,0;4114177,88;5452,53;72653,73999999999;25508,56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1393824,11;0,0;0,0;0,0;297998,29000000004;0,0;6875159,42;2873302,04;0,0;2432022,14;176364,48;0,0;8127024,149999999;0,0;0,0;6547004,5;0,0;0,0;0,0;0,0;2021-06-01
2021;set;7575109,36;0,0;0,0;4710433,68;20544,72;99903,7;37382,240000000005;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1402046,1;0,0;0,0;0,0;309507,38;0,0;8754035,469999999;0,0;0,0;2838441,67;207962,32;0,0;5030764,09;0,0;0,0;11821597,35;0,0;0,0;0,0;0,0;2021-09-01
2021;dez;7327670,8;0,0;0,0;4572305,55;8860,19;87391,28000000001;34531,55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1401214,33;0,0;0,0;0,0;385666,85;0,0;13326993,93;2005229,1199999996;0,0;2777736,1599999997;219859,41;0,0;18735457,9;0,0;0,0;16966664,36;0,0;0,0;0,0;0,0;2021-12-01
