Ano;mês;receita bruta de vendas;impostos sobre vendas;devoluções de vendas;CMV (custo da mercadoria vendida);despesas comerciais;despesas administrativas;despesas financeiras líquidas;despesas com depreciações e amortizações;receitas não operacionais;despesas não operacionais;provisão para imposto de renda;provisão para contribuição social;numero de vendas;pró-labore/distribuição de lucro;Centro de Custos Saidas 1;Aporte;estoque final do mês de mercadorias para revenda saldo;Centro de Custos Entradas 2;Ativo NC;contas a pagar de fornecedores saldo;contas a receber saldo;Centro de Custos Saidas 2;Disponibilidades entradas;Centro de Custos Entradas 1;Centro de Custos Saidas 4;Centro de Custos Entradas 4;estoque inicial do mês de mercadorias para revenda saldo;Passivos Financeiros;Centro de Custos Entradas 3;Centro de Custos Saidas 3;Outros AC;Disponibilidades Saida;Outros PC;Passivo NC;disponibilidades saldo;Data
2021;mar;6358310,840000001;0,0;0,0;3916591,02;11813,02;61378,90000000001;28285,54;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;614976,9500000001;2075126,0;5150142,59;0,0;7026805,920000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;203758,86;7830612,0;325129,86;0,0;2622053,31;2021-03-01
2021;jun;6669979,149999999;0,0;0,0;4114177,88;5452,53;72653,73999999999;25508,56;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;691593,3700000001;2432022,14;6547004,5;0,0;8127024,149999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;175230,95;6875159,42;297998,29000000004;0,0;2873302,04;2021-06-01
2021;set;7575109,36;0,0;0,0;4710433,68;20544,72;99903,7;37382,240000000005;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;699815,3600000001;2838441,67;11821597,35;0,0;5030764,09;0,0;0,0;0,0;0,0;0,0;0,0;0,0;206828,79;8754035,469999999;309507,38;0,0;0,0;2021-09-01
2021;dez;7327670,8;0,0;0,0;4572305,55;8860,19;87391,28000000001;34531,55;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;698983,5900000001;2777736,1599999997;16966664,36;0,0;18735457,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;218725,88;13326993,93;385666,85;0,0;2005229,1199999996;2021-12-01
