Ano;mês;receita bruta de vendas;impostos sobre vendas;devoluções de vendas;CMV (custo da mercadoria vendida);despesas comerciais;despesas administrativas;despesas financeiras líquidas;despesas com depreciações e amortizações;receitas não operacionais;despesas não operacionais;provisão para imposto de renda;provisão para contribuição social;numero de vendas;pró-labore/distribuição de lucro;disponibilidades saldo;contas a receber saldo;Outros AC;Ativo NC;contas a pagar de fornecedores saldo;Outros PC;estoque inicial do mês de mercadorias para revenda saldo;Disponibilidades entradas;Centro de Custos Saidas 3;Centro de Custos Entradas 2;Passivos Financeiros;Passivo NC;Centro de Custos Saidas 2;Centro de Custos Entradas 4;Aporte;Centro de Custos Entradas 1;Disponibilidades Saida;Centro de Custos Entradas 3;Centro de Custos Saidas 4;estoque final do mês de mercadorias para revenda saldo;Centro de Custos Saidas 1;Data
2021;mar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2622053,31;5150142,59;203758,86;614976,9500000001;2075126,0;325129,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2021-03-01
2021;jun;6669979,149999999;0,0;0,0;4114177,88;5452,53;72653,73999999999;25508,56;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2021-06-01
