ano;mes;campo_pai;subconta;valor
2021;mar;despesas administrativas;Combustiveis 421020-9;1193,53
2021;mar;despesas administrativas;Seguros 421021-0;1499,13
2021;mar;despesas administrativas;Consertos e Reparos 421021-1;1659,0
2021;mar;despesas administrativas;Graficas e Impressos 421021-2;2956,3
2021;mar;despesas administrativas;Limpeza e Conservaca 421021-6;4061,34
2021;mar;despesas administrativas;Copa e Cozinha 421021-7;653,57
2021;mar;despesas administrativas;Mensalidades de Asso 421021-8;3749,2
2021;mar;despesas comerciais;Brindes e Doacoes 421021-9;195,0
2021;mar;despesas administrativas;Jornais e Revistas 421022-0;21,8
2021;mar;despesas administrativas;Despesas Medicas e H 421022-2;325,73
2021;mar;Ativo NC;Imobilizado de Baixo 421023-0;3197,9
2021;mar;despesas financeiras líquidas;Juros Pagos a Fornec 421040-1;19133,4
2021;mar;Disponibilidades entradas;Caixa Cofre 111010-1;1256836,98
2021;mar;Disponibilidades Saida;Caixa Cofre 111010-1;1274640,9
2021;mar;Disponibilidades entradas;Caixa Retaguarda 111010-3;75981,5
2021;mar;Disponibilidades Saida;Caixa Retaguarda 111010-3;65896,49
2021;mar;Disponibilidades entradas;Caixa Custodia 111010-4;12582,62
2021;mar;Disponibilidades Saida;Caixa Custodia 111010-4;14984,04
2021;mar;Disponibilidades entradas;C/C Banco Itaú 16526 111020-1;5189531,48
2021;mar;Disponibilidades Saida;C/C Banco Itaú 16526 111020-1;6091229,78
2021;mar;Disponibilidades entradas;C/C Banco Bradesco 2 111020-8;484703,95
2021;mar;Disponibilidades Saida;C/C Banco Bradesco 2 111020-8;72664,47
2021;mar;Disponibilidades entradas;c/c banco itau 54007 111021-3;2229,55
2021;mar;Disponibilidades Saida;c/c banco itau 54007 111021-3;9452,49
2021;mar;Disponibilidades entradas;c/c banco itaú 54198 111021-4;645,4
2021;mar;Disponibilidades Saida;c/c banco itaú 54198 111021-4;481,41
2021;mar;Disponibilidades entradas;c/c banco itau 54742 111021-5;702,62
2021;mar;Disponibilidades Saida;c/c banco itau 54742 111021-5;1262,22
2021;mar;Disponibilidades entradas;BANCO ITAU 16526-9 A 111021-6;3591,82
2021;mar;Disponibilidades Saida;BANCO ITAU 16526-9 A 111021-6;300000,2
2021;jun;disponibilidades saldo;Caixa Cofre 111010-1;41370,15
2021;jun;disponibilidades saldo;Caixa Retaguarda 111010-3;8029,26
2021;jun;disponibilidades saldo;Caixa Custodia 111010-4;4999,92
2021;jun;disponibilidades saldo;C/C Banco Itaú 16526 111020-1;-1403916,94
2021;jun;disponibilidades saldo;C/C Banco Bradesco 2 111020-8;2696583,85
2021;jun;disponibilidades saldo;c/c Banco Itaú 19465 111021-0;27,6
2021;jun;disponibilidades saldo;BANCO ITAU 16526-9 A 111021-6;712528,5
2021;jun;disponibilidades saldo;BANCO ITAU 16526-9 A 111021-7;813679,7
2021;jun;contas a receber saldo;Duplicatas a Receber 112010-1;547785,78
2021;jun;contas a receber saldo;Cartoes a Receber 112010-2;5999218,72
2021;jun;Outros AC;Adiantamento a Forne 112060-1;80757,12
2021;jun;Outros AC;Adiantamento a Funci 112060-2;24953,05
2021;jun;Outros AC;Adiantamentos a fuci 112060-5;30,9
2021;jun;Outros AC;Impostos e Taxas a A 114010-5;1133,53
2021;jun;Ativo NC;Edificacoes 132010-2;1000000,0
2021;jun;Ativo NC;Maquinas Equipamento 132010-3;433320,32
2021;jun;Ativo NC;Moveis Utensilios 132010-4;87041,25
2021;jun;Ativo NC;Veiculos 132010-5;164811,0
2021;jun;Ativo NC;(-) Depreciacao Acum 132010-6;-297769,26
2021;jun;contas a pagar de fornecedores saldo;Fornecedores de Merc 211010-1;2354577,69
2021;jun;contas a pagar de fornecedores saldo;Outros Fornecedores 211010-2;77444,45
2021;jun;Outros AC;Adiantamentos de Cli 211030-1;64765,18
2021;jun;Outros AC;Adiantamento de Cart 211030-6;4724,7
2021;jun;Outros PC;Provisoes 13 Salari 211080-2;22338,62
2021;jun;Outros PC;Provisoes Encargos 211080-3;43193,01
2021;jun;receita bruta de vendas;Venda Balcao a Vista 311010-1;3547513,76
2021;jun;receita bruta de vendas;Venda Balcao a Prazo 311010-2;2803329,28
2021;jun;receita bruta de vendas;Venda Tele-Vendas a 311010-3;1235,33
2021;jun;receita bruta de vendas;Vendas de Servicos a 311020-1;53822,42
2021;jun;receita bruta de vendas;Vendas de Servicos a 311020-2;172001,49
2021;jun;despesas financeiras líquidas;Juros Recebidos 312010-1;17705,9
2021;jun;receita bruta de vendas;Venda de Bem Imobili 321010-1;92000,0
2021;jun;CMV (custo da mercadoria vendida);Custo da Mercadoria 411020-1;4114177,88
2021;jun;Outros PC;Salarios 421010-1;228621,41
2021;jun;despesas comerciais;Comissoes sobre resu 421010-6;5267,53
2021;jun;receita bruta de vendas;Fretes S/Vendas 421010-8;76,87
2021;jun;despesas administrativas;Energia Eletrica 421011-2;14036,33
2021;jun;Outros PC;Despesa Salario Fami 421012-0;3845,25
2021;jun;Ativo NC;Aluguel de máquinas 421012-4;670,0
2021;jun;despesas administrativas;Honorarios Contabeis 421020-2;7875,0
2021;jun;despesas administrativas;Honorarios Juridicos 421020-3;3300,0
2021;jun;despesas administrativas;Material de Consumo 421020-4;7576,96
2021;jun;despesas administrativas;Telefone 421020-6;8362,09
2021;jun;despesas administrativas;Agua 421020-7;4049,82
2021;jun;despesas administrativas;Combustiveis 421020-9;1064,04
2021;jun;despesas administrativas;Seguros 421021-0;1325,52
2021;jun;despesas administrativas;Consertos e Reparos 421021-1;12606,23
2021;jun;despesas administrativas;Graficas e Impressos 421021-2;2929,1
2021;jun;despesas administrativas;Limpeza e Conservaca 421021-6;4119,8
2021;jun;despesas administrativas;Copa e Cozinha 421021-7;848,05
2021;jun;despesas administrativas;Mensalidades de Asso 421021-8;4157,54
2021;jun;despesas comerciais;Brindes e Doacoes 421021-9;185,0
2021;jun;despesas administrativas;Jornais e Revistas 421022-0;10,9
2021;jun;despesas administrativas;Despesas Medicas e H 421022-2;392,36
2021;jun;Ativo NC;Imobilizado de Baixo 421023-0;5750,8
2021;jun;despesas financeiras líquidas;Juros Pagos a Fornec 421040-1;7802,66
2021;jun;Disponibilidades entradas;Caixa Cofre 111010-1;1100061,77
2021;jun;Disponibilidades Saida;Caixa Cofre 111010-1;1072467,76
2021;jun;Disponibilidades entradas;Caixa Retaguarda 111010-3;43884,0
2021;jun;Disponibilidades Saida;Caixa Retaguarda 111010-3;51721,53
2021;jun;Disponibilidades entradas;Caixa Custodia 111010-4;12075,16
2021;jun;Disponibilidades Saida;Caixa Custodia 111010-4;14671,19
2021;jun;Disponibilidades entradas;C/C Banco Itaú 16526 111020-1;5684767,95
2021;jun;Disponibilidades Saida;C/C Banco Itaú 16526 111020-1;5736298,94
2021;jun;Disponibilidades entradas;C/C Banco Bradesco 2 111020-8;466957,67
2021;jun;Disponibilidades entradas;c/c Banco Itaú 19465 111021-0;27,6
2021;jun;Disponibilidades entradas;BANCO ITAU 16526-9 A 111021-6;5570,3
2021;jun;Disponibilidades entradas;BANCO ITAU 16526-9 A 111021-7;813679,7
2021;set;disponibilidades saldo;Caixa Cofre 111010-1;12950,37
2021;set;disponibilidades saldo;Caixa Retaguarda 111010-3;10748,77
2021;set;disponibilidades saldo;Caixa Custodia 111010-4;6986,44
2021;set;disponibilidades saldo;C/C Banco Itaú 16526 111020-1;-7142626,92
2021;set;disponibilidades saldo;C/C Banco Bradesco 2 111020-8;3708678,89
2021;set;disponibilidades saldo;c/c Banco Itaú 19465 111021-0;27,6
2021;set;disponibilidades saldo;BANCO ITAU 16526-9 A 111021-6;721125,77
2021;set;disponibilidades saldo;BANCO ITAU 16526-9 A 111021-7;823497,45
2021;set;disponibilidades saldo;BANCO ITAU 16526-9 A 111021-8;1008642,29
2021;set;contas a receber saldo;Duplicatas a Receber 112010-1;480810,62
2021;set;contas a receber saldo;Cartoes a Receber 112010-2;11340786,73
2021;set;Outros AC;Adiantamento a Forne 112060-1;143307,09
2021;set;Outros AC;Adiantamento a Funci 112060-2;34178,9
2021;set;Outros AC;Adiantamentos a fuci 112060-5;30,9
2021;set;Outros AC;Impostos e Taxas a A 114010-5;1133,53
2021;set;Ativo NC;Edificacoes 132010-2;1000000,0
2021;set;Ativo NC;Maquinas Equipamento 132010-3;441222,32
2021;set;Ativo NC;Moveis Utensilios 132010-4;87041,25
2021;set;Ativo NC;Veiculos 132010-5;164811,0
2021;set;Ativo NC;(-) Depreciacao Acum 132010-6;-297769,26
2021;set;contas a pagar de fornecedores saldo;Fornecedores de Merc 211010-1;2763435,73
2021;set;contas a pagar de fornecedores saldo;Outros Fornecedores 211010-2;75005,94
2021;set;Outros AC;Adiantamentos de Cli 211030-1;24587,2
2021;set;Outros AC;Adiantamento de Cart 211030-6;4724,7
2021;set;Outros PC;Provisoes 13 Salari 211080-2;22338,62
2021;set;Outros PC;Provisoes Encargos 211080-3;43193,01
2021;set;receita bruta de vendas;Venda Balcao a Vista 311010-1;3947695,96
2021;set;receita bruta de vendas;Venda Balcao a Prazo 311010-2;3379374,58
2021;set;receita bruta de vendas;Venda Tele-Vendas a 311010-3;3587,29
2021;set;receita bruta de vendas;Vendas de Servicos a 311020-1;57667,19
2021;set;receita bruta de vendas;Vendas de Servicos a 311020-2;186784,34
2021;set;despesas financeiras líquidas;Juros Recebidos 312010-1;29036,4
2021;set;CMV (custo da mercadoria vendida);Custo da Mercadoria 411020-1;4710433,68
2021;set;Outros PC;Salarios 421010-1;240726,72
2021;set;despesas comerciais;Comissoes sobre resu 421010-6;20359,72
2021;set;despesas administrativas;Energia Eletrica 421011-2;14421,54
2021;set;Outros PC;Despesa Salario Fami 421012-0;3249,03
2021;set;Ativo NC;Aluguel de máquinas 421012-4;810,0
2021;set;despesas administrativas;Honorarios Contabeis 421020-2;7875,0
2021;set;despesas administrativas;Honorarios Juridicos 421020-3;11700,0
2021;set;despesas administrativas;Material de Consumo 421020-4;12152,07
2021;set;despesas administrativas;Telefone 421020-6;5242,35
2021;set;despesas administrativas;Agua 421020-7;5217,76
2021;set;despesas administrativas;Combustiveis 421020-9;1150,23
2021;set;despesas administrativas;Seguros 421021-0;1484,52
2021;set;despesas administrativas;Consertos e Reparos 421021-1;29183,19
2021;set;despesas administrativas;Graficas e Impressos 421021-2;114,9
2021;set;despesas administrativas;Limpeza e Conservaca 421021-6;5943,7
2021;set;despesas administrativas;Copa e Cozinha 421021-7;655,75
2021;set;despesas administrativas;Mensalidades de Asso 421021-8;4462,69
2021;set;despesas comerciais;Brindes e Doacoes 421021-9;185,0
2021;set;despesas administrativas;Despesas Medicas e H 421022-2;300,0
