Ano;mês;receita bruta de vendas;impostos sobre vendas;devoluções de vendas;CMV (custo da mercadoria vendida);despesas comerciais;despesas administrativas;despesas financeiras líquidas;despesas com depreciações e amortizações;receitas não operacionais;despesas não operacionais;provisão para imposto de renda;provisão para contribuição social;numero de vendas;pró-labore/distribuição de lucro;Disponibilidades Saida;Centro de Custos Entradas 2;Centro de Custos Saidas 1;Centro de Custos Saidas 4;Centro de Custos Saidas 2;Centro de Custos Entradas 4;Centro de Custos Entradas 3;Disponibilidades entradas;Centro de Custos Entradas 1;Centro de Custos Saidas 3;Data;disponibilidades saldo;contas a receber saldo;estoque inicial do mês de mercadorias para revenda saldo;estoque final do mês de mercadorias para revenda saldo;Outros AC;Ativo NC;contas a pagar de fornecedores saldo;Passivos Financeiros;Outros PC;Passivo NC;Aporte
2021;mar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2021-03-01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;jun;6669979,149999999;0,0;0,0;4114177,88;5452,53;72653,73999999999;25508,56;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2021-06-01;2873302,04;6547004,5;0,0;0,0;175230,95;691593,3700000001;2432022,14;0,0;297998,29000000004;0,0;0,0
