Ano;mês;receita bruta de vendas;impostos sobre vendas;devoluções de vendas;CMV (custo da mercadoria vendida);despesas comerciais;despesas administrativas;despesas financeiras líquidas;despesas com depreciações e amortizações;receitas não operacionais;despesas não operacionais;provisão para imposto de renda;provisão para contribuição social;numero de vendas;pró-labore/distribuição de lucro;disponibilidades saldo;contas a receber saldo;Outros AC;Ativo NC;contas a pagar de fornecedores saldo;Outros PC;Centro de Custos Saidas 3;estoque final do mês de mercadorias para revenda saldo;Passivos Financeiros;Centro de Custos Entradas 1;Disponibilidades entradas;Centro de Custos Saidas 4;Passivo NC;Centro de Custos Saidas 2;Centro de Custos Saidas 1;Centro de Custos Entradas 4;Aporte;Disponibilidades Saida;Centro de Custos Entradas 3;Centro de Custos Entradas 2;estoque inicial do mês de mercadorias para revenda saldo;Data
2021;mar;6358310,840000001;0,0;0,0;3916591,02;11813,02;61378,90000000001;28285,54;-297769,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2021-03-01
;non;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2622053,31;5150142,59;203758,86;614976,9500000001;2075126,0;325129,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
